ten,gia,donvitinh,ngaycapnhat
"Bánh chưng loại 1,5kg/cái","180000.0","Cái","2022-04-12 00:00:00"
"Bánh hộp Danisa butter cookie 454gr","140000.0","Hộp","2022-04-12 00:00:00"
"Bắp cải Đà Lạt (lặt sạch)","20000.0","Kg","2022-04-12 00:00:00"
"Bia Heineken lon (thùng 24 lon)","410000.0","Thùng","2022-04-12 00:00:00"
"Bia lon 333 Sài gòn (thùng 24 lon)","255000.0","Thùng","2022-04-12 00:00:00"
"Bia Tiger lon (thùng 24 lon)","345000.0","Thùng","2022-04-12 00:00:00"
"Bí xanh","22000.0","Kg","2022-04-12 00:00:00"
"Bột ngọt Ajinomoto (VN 453gr/gói)","32000.0","Gói","2022-04-12 00:00:00"
"Bưởi năm roi (da xanh) (trái 1 kg)","60000.0","Trái","2022-04-12 00:00:00"
"Bưởi năm roi (trái 1kg)","45000.0","Trái","2022-04-12 00:00:00"
"Cá bạc má","80000.0","Kg","2022-04-12 00:00:00"
"Cá basa","60000.0","Kg","2022-04-12 00:00:00"
"Cà chua","28000.0","Kg","2022-04-12 00:00:00"
"Cá diêu hồng (con trên 0,7k/g)","70000.0","Kg","2022-04-12 00:00:00"
"Cá hường","90000.0","Kg","2022-04-12 00:00:00"
"Cải xanh","22000.0","Kg","2022-04-12 00:00:00"
"Cá lóc nuôi bè (0,5kg/con)","80000.0","Kg","2022-04-12 00:00:00"
"Cam sành (loại 4-5 trái/kg)","40000.0","Kg","2022-04-12 00:00:00"
"Cà rốt Đà Lạt","28000.0","Kg","2022-04-12 00:00:00"
"Cá thác lác","350000.0","Kg","2022-04-12 00:00:00"
"Cá thu","250000.0","Kg","2022-04-12 00:00:00"
"Chả Bò","220000.0","Kg","2022-04-12 00:00:00"
"Chả lụa","220000.0","Kg","2022-04-12 00:00:00"
"Chân giò","170000.0","Kg","2022-04-12 00:00:00"
"Dầu ăn tổng hợp Nakydaco (chai 1 lít)","40000.0","Lít","2022-04-12 00:00:00"
"Dầu ăn tổng hợp Naptune (chai 1 lít)","55000.0","Lít","2022-04-12 00:00:00"
"Dầu ăn tổng hợp Tường An (chai 1 lít)","45000.0","Lít","2022-04-12 00:00:00"
"Đậu xanh mỡ hạt loại 1","50000.0","Kg","2022-04-12 00:00:00"
"Dưa hấu tròn (trái 4-5kg)","20000.0","Kg","2022-04-12 00:00:00"
"Dưa leo","25000.0","Kg","2022-04-12 00:00:00"
"Đường RE biên hòa (bịch 1 kg)","24000.0","Kg","2022-04-12 00:00:00"
"Đường RE biên hòa rời","20000.0","Kg","2022-04-12 00:00:00"
"Gà công nghiệp làm sẵn","80000.0","Kg","2022-04-12 00:00:00"
"Gà mái ta làm sẵn (con 1-1,5kg)","120000.0","Kg","2022-04-12 00:00:00"
"Gạo nàng thơm chợ Đào","25000.0","Kg","2022-04-12 00:00:00"
"Gạo Tám thơm","20000.0","Kg","2022-04-12 00:00:00"
"Gạo tẻ trắng IR 64  25% tấm","15000.0","Kg","2022-04-12 00:00:00"
"Gạo trắng Jasmine","16000.0","Kg","2022-04-12 00:00:00"
"Gà tam hoàng làm sẵn (con 1-1,5kg)","90000.0","Kg","2022-04-12 00:00:00"
"Hành tím Gò Công","45000.0","Kg","2022-04-12 00:00:00"
"Hạt dưa","160000.0","Kg","2022-04-12 00:00:00"
"Hoa huệ","120000.0","Chục","2022-04-12 00:00:00"
"Khoai tây Đà Lạt","30000.0","Kg","2022-04-12 00:00:00"
"Khổ qua","30000.0","Kg","2022-04-12 00:00:00"
"Lạp xưởng Mai quế lộ loại 1 (Vissan)","220000.0","Kg","2022-04-12 00:00:00"
"Lê TQ","35000.0","Kg","2022-04-12 00:00:00"
"Mãng cầu (4-5 trái/kg)","60000.0","Kg","2022-04-12 00:00:00"
"Măng lá khô (loại đầu búp măng)","400000.0","Kg","2022-04-12 00:00:00"
"Mực ống (8-10 con/kg)","200000.0","Kg","2022-04-12 00:00:00"
"Mứt bí tăm","130000.0","Kg","2022-04-12 00:00:00"
"Mứt dừa dẽo","180000.0","Kg","2022-04-12 00:00:00"
"Mứt gừng Huế","150000.0","Kg","2022-04-12 00:00:00"
"Mứt hạt sen Huế","200000.0","Kg","2022-04-12 00:00:00"
"Mứt khoai thanh","120000.0","Kg","2022-04-12 00:00:00"
"Mứt mãng cầu","150000.0","Kg","2022-04-12 00:00:00"
"Mứt me","150000.0","Kg","2022-04-12 00:00:00"
"Nấm hương","45000.0","100gr","2022-04-12 00:00:00"
"Nấm mèo","22000.0","100gr","2022-04-12 00:00:00"
"Nếp sáp","27000.0","Kg","2022-04-12 00:00:00"
